id,frame_number,plate_text,plate_image_path,detected_at
34,34,( MH. GE?9533 |,Snaps\plate_34.jpg,2025-09-01 18:56:07
33,33,MH.14 GE99533,Snaps\plate_33.jpg,2025-09-01 18:56:04
32,32,(MH.414 GE99533,Snaps\plate_32.jpg,2025-09-01 18:56:01
31,31,MH.14 GE99533,Snaps\plate_31.jpg,2025-09-01 18:55:59
30,30,"{ MH.14 GE*9533,",Snaps\plate_30.jpg,2025-09-01 18:55:56
29,29,{ MH.14 GE99533,Snaps\plate_29.jpg,2025-09-01 18:55:53
28,28,(MH.¥14 GE99533,Snaps\plate_28.jpg,2025-09-01 18:55:50
27,27,MH.A4 GE99533,Snaps\plate_27.jpg,2025-09-01 18:55:48
26,26,"MH.""14 GE99533",Snaps\plate_26.jpg,2025-09-01 18:55:45
25,25,MH4 GE99533 |,Snaps\plate_25.jpg,2025-09-01 18:55:42
24,24,{MH.14 GE99533 |,Snaps\plate_24.jpg,2025-09-01 18:55:40
23,23,(MH.44 GE*9533,Snaps\plate_23.jpg,2025-09-01 18:55:37
22,22,MHA4 GE9533,Snaps\plate_22.jpg,2025-09-01 18:55:34
21,21,MH.M4 GE9533,Snaps\plate_21.jpg,2025-09-01 18:55:31
20,20,MH4 GE99533,Snaps\plate_20.jpg,2025-09-01 18:55:28
19,19,MH.4 GE99533,Snaps\plate_19.jpg,2025-09-01 18:55:25
18,18,MH.M4 GE?9533,Snaps\plate_18.jpg,2025-09-01 18:55:23
17,17,MH. GEr9533,Snaps\plate_17.jpg,2025-09-01 18:55:20
16,16,MH.14 GEr9533,Snaps\plate_16.jpg,2025-09-01 18:55:18
15,15,MH.*14 GEr9533,Snaps\plate_15.jpg,2025-09-01 18:55:15
14,14,MHM4 GEr9533,Snaps\plate_14.jpg,2025-09-01 18:55:13
13,13,MH.*44 GE?9533,Snaps\plate_13.jpg,2025-09-01 18:55:10
12,12,MH.A4 GEr9533,Snaps\plate_12.jpg,2025-09-01 18:55:07
11,11,MH.A4 GE?9533,Snaps\plate_11.jpg,2025-09-01 18:55:05
10,10,MH.44 GE*9533,Snaps\plate_10.jpg,2025-09-01 18:55:02
9,9,MH.914 GE?9533.,Snaps\plate_9.jpg,2025-09-01 18:54:59
8,8,MH.=14 GE#9533 |,Snaps\plate_8.jpg,2025-09-01 18:54:56
7,7,MH.914 GE?9533,Snaps\plate_7.jpg,2025-09-01 18:54:53
6,6,WMH.+14 GE+9533 |,Snaps\plate_6.jpg,2025-09-01 18:54:51
5,5,MH.14 GE#9533,Snaps\plate_5.jpg,2025-09-01 18:54:48
4,4,MMH.o14 GE#9533 ],Snaps\plate_4.jpg,2025-09-01 18:54:45
3,3,cn GE9533,Snaps\plate_3.jpg,2025-09-01 18:54:42
2,2,cn GE9533,Snaps\plate_2.jpg,2025-09-01 18:54:39
1,1,cn GE9533,Snaps\plate_1.jpg,2025-09-01 18:54:37
